model,metric,n_run_batches,mean_full_minus_exhaustive,ci95_low,ci95_high
gemma-4-31b,"Latency difference, ms",5,-197.17999999999998,-355.67096553453604,-38.68903446546392
gemma-4-31b,Total token difference,5,1.7999999999999545,1.7999999999999545,1.7999999999999545
gpt-oss-120b,"Latency difference, ms",5,-224.66000000000003,-444.6872328893619,-4.632767110638156
gpt-oss-120b,Total token difference,5,12.54000000000001,1.1218884927362822,23.958111507263737
zai-glm-4.7,"Latency difference, ms",5,-131.15999999999994,-304.45943611320934,42.139436113209484
zai-glm-4.7,Total token difference,5,27.10000000000009,-16.642273633188754,70.84227363318894
